iso3,name,region,income_group,overall_centrality,nn_centrality,n_centrality,ed_centrality,ing_centrality,n_partners,n_agreements,avg_enforceable,max_enforceable,overall_rank,nn_rank,n_rank,ed_rank,ing_rank
NIU,NIU,EAP,Unknown,0.0003641638638384364,0.00018423609401287035,0.00022156130803663735,0.00012007678609158453,0.0004662044928989823,14,3,17.666666666666668,36,198,192,186,189,188
VUT,VUT,EAP,Developing,0.00036416386383843555,0.00016626531901519845,0.00022569922616737467,0.00012007678609158453,0.0005730923977525574,14,4,19.5,36,199,194,179,189,184
TON,TON,EAP,Developing,0.0003641638638384338,0.00018381547978938567,0.00022156130803663442,0.00012007678609158453,0.0005730923977525566,14,3,17.666666666666668,36,200,193,188,189,185
KIR,KIR,EAP,Developing,0.0003641638638384338,0.00016593554443416342,0.00022212186614612494,0.00012007678609158453,0.0005730923977525566,14,3,17.666666666666668,36,200,195,183,189,185
TUV,TUV,EAP,Developing,0.0003641638638384338,0.00016560638342445842,0.00022569922616737543,0.00012007678609158453,0.0005730923977525592,14,3,17.666666666666668,36,200,197,177,189,182
NRU,NRU,EAP,Developed,0.00036416386383843294,0.00016593140604973574,0.0002221218661461244,0.0003798755658132601,0.0004662044928989823,14,3,17.666666666666668,36,203,196,184,159,188
MHL,MHL,EAP,Developing,0.00023430842217218994,0.00016144027983594836,0.00021699880325547067,0.0001195883513607012,0.00032619092853984757,14,1,17.0,17,204,198,189,196,191
YEM,YEM,MENA,Developing,0.000195456615189924,9.317212166657014e-05,0.0009070192309851285,3.3138920320075873e-06,0.0005505840824391969,15,1,10.0,10,205,200,170,205,187
MAC,MAC,EAP,Developed,0.0001226981859146527,0.00010836015478309156,0.0,9.398463366515052e-05,0.00012732253385209518,2,2,45.0,46,206,199,190,197,192
MDV,MDV,SAS,Developing,5.6781109144084725e-05,7.584200959307504e-06,0.0002928306719220199,0.0,0.00010321239164282939,7,3,37.666666666666664,46,207,201,176,206,193
BTN,BTN,SAS,Developing,5.678110914408451e-05,7.489197655549326e-06,0.0002969368770707656,0.0,0.00010321239164282939,7,4,30.0,46,208,202,173,206,193
AFG,AFG,SAS,Developing,5.678110914408451e-05,6.768893946207518e-06,0.00029693687707076246,0.0,0.00010321239164282765,7,3,44.0,46,208,203,174,206,196
NPL,NPL,SAS,Developing,5.6781109144084074e-05,3.3588257246607023e-06,0.0002969368770707618,0.0,0.00010321239164282895,7,4,33.25,46,210,204,175,206,195
